"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1.0,7291,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1331
16,9.0,7007,Larisa NIKITINA,29 APR 1965,URS,1,Bryansk (URS),11 JUN 1989,1274
32,17.0,6947,Nafissatou THIAM,19 AUG 1994,BEL,1,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1262
48,25.0,6887,Carolina KLÜFT,02 FEB 1983,SWE,1,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,1250
64,33.0,6841,Jackie JOYNER,03 MAR 1962,USA,1,Götzis (AUT),25 MAY 1986,1241
80,41.0,6820,Carolina KLÜFT,02 FEB 1983,SWE,1,Götzis (AUT),30 MAY 2004,1237
96,49.0,6805,Anke BEHMER,05 JUN 1961,GDR,1,Götzis (AUT),19 JUN 1988,1234
112,57.0,6778,Nataliya DOBRYNSKA,29 MAY 1982,UKR,2,"Estadio Olímpico, Barcelona (ESP)",31 JUL 2010,1228
128,65.0,6755,Eunice BARBER,17 NOV 1974,FRA,2,"Stade de France, Paris-St-Denis (FRA)",24 AUG 2003,1224
144,72.0,6736,Eunice BARBER,17 NOV 1974,FRA,1,Götzis (AUT),27 MAY 2001,1220
160,81.0,6719,Carolina KLÜFT,02 FEB 1983,SWE,1,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,1217
176,89.0,6696,Carolin SCHÄFER,05 DEC 1991,GER,2,"Olympic Stadium, London (GBR)",06 AUG 2017,1212
192,97.0,6691,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,4,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1211
8,105.0,6682,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,1,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1209
24,113.0,6669,Jessica ENNIS-HILL,28 JAN 1986,GBR,1,"National Stadium, Beijing (CHN)",23 AUG 2015,1207
40,120.0,6663,Jennifer OESER,29 NOV 1983,GER,1,"Stadionring, Ratingen (GER)",17 JUL 2011,1206
56,129.0,6649,Sabine BRAUN,19 JUN 1965,GER,3,"Estadio Olímpico, Barcelona (ESP)",02 AUG 1992,1203
72,137.0,6633,Natalya ROSHCHUPKINA,13 JAN 1978,RUS,2,Tula (RUS),23 JUL 2000,1200
88,143.0,6619,Xénia KRIZSÁN,13 JAN 1993,HUN,2,"Stade Pierre Paul Bernard, Talence (FRA)",23 JUN 2019,1197
104,152.0,6604,Sabine BRAUN,19 JUN 1965,FRG,1,Götzis (AUT),17 JUN 1990,1194
120,161.0,6597,Brianne THEISEN-EATON,18 DEC 1986,CAN,1,"Hampden Park, Glasgow (GBR)",30 JUL 2014,1192
136,169.0,6590,Emma OOSTERWEGEL,29 JUN 1998,NED,3,"National Stadium, Tokyo (JPN)",05 AUG 2021,1191
152,177.0,6580,Claudia SALMAN-RATH,25 APR 1986,GER,5,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1189
168,185.0,6572,Heike TISCHLER,04 FEB 1964,GDR,2,"Poljud Stadion, Split (CRO)",31 AUG 1990,1188
184,192.0,6564,Kendell WILLIAMS,14 JUN 1995,USA,1,"Sacramento, CA (USA)",25 JUN 2017,1186
0,200.0,6557,Erica BOUGARD,26 JUL 1993,USA,2,"Sacramento, CA (USA)",25 JUN 2017,1185
16,209.0,6547,Kelly SOTHERTON,13 NOV 1976,GBR,2,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,1183
32,216.0,6540,Carolin SCHÄFER,05 DEC 1991,GER,5,"Estádio Olímpico, Rio de Janeiro (BRA)",13 AUG 2016,1181
48,225.0,6532,Adrianna SUŁEK,03 APR 1999,POL,2,"Olympiastadion, München (GER)",18 AUG 2022,1180
64,233.0,6527,Diane GUTHRIE-GRESHAM,24 OCT 1971,JAM,1,"Knoxville, TN (USA)",03 JUN 1995,1179
80,240.0,6520,Jessica ENNIS-HILL,28 JAN 1986,GBR,4,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1177
96,249.0,6513,Denise LEWIS,27 AUG 1972,GBR,1,Kuala Lumpur (MAS),17 SEP 1998,1176
112,257.0,6505,Eunice BARBER,17 NOV 1974,FRA,1,Praha (CZE),04 JUL 1999,1174
128,264.0,6498,Nadine BROERSEN,29 APR 1990,NED,2,"Letzigrund, Zürich (SUI)",15 AUG 2014,1173
144,271.0,6494,Barbara NWABA,18 JAN 1989,USA,1,"Hayward Field, Eugene, OR (USA)",10 JUL 2016,1172
160,280.0,6491,Nafissatou THIAM,19 AUG 1994,BEL,4,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,1172
176,289.0,6480,Jessica ZELINKA,03 SEP 1981,CAN,5,"Olympic Stadium, London (GBR)",04 AUG 2012,1169
192,297.0,6472,Sheila BURRELL,15 JAN 1972,USA,3,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1168
8,300.0,6470,Erica BOUGARD,26 JUL 1993,USA,4,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1167
24,311.0,6466,Yekaterina BOLSHOVA,04 FEB 1988,RUS,3,Cheboksary (RUS),03 JUN 2012,1167
40,320.0,6462,Claudia RATH,25 APR 1986,GER,4,"Luzhniki Stadion, Moskva (RUS)",13 AUG 2013,1166
56,329.0,6458,Anouk VETTER,04 FEB 1993,NED,6,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1165
72,337.0,6454,Sheila BURRELL,15 JAN 1972,USA,1,Talence (FRA),16 SEP 2001,1164
88,345.0,6448,Irina BELOVA,27 MAR 1968,URS,3,"National Stadium, Tokyo (JPN)",27 AUG 1991,1163
104,350.0,6442,Györgyi ZSIVOCZKY-FARKAS,13 FEB 1985,HUN,8,"Estádio Olímpico, Rio de Janeiro (BRA)",13 AUG 2016,1162
120,360.0,6437,Yorgelis RODRÍGUEZ,25 JAN 1995,CUB,1,"Estadio Panamericano, La Habana (CUB)",19 JUN 2021,1161
136,368.0,6434,Peggy BEER,15 SEP 1969,GER,6,"Estadio Olímpico, Barcelona (ESP)",02 AUG 1992,1160
152,377.0,6428,Natallia SAZANOVICH,15 AUG 1973,BLR,5,"Olympic Stadium, Athina (GRE)",04 AUG 1997,1159
168,385.0,6423,Urszula WŁODARCZYK,22 DEC 1965,POL,2,Götzis (AUT),31 MAY 1998,1158
184,392.0,6422,Sheila BURRELL,15 JAN 1972,USA,4,Götzis (AUT),04 JUN 2000,1158
0,401.0,6418,Sabine BRAUN,19 JUN 1965,FRG,3,Götzis (AUT),25 MAY 1986,1157
16,409.0,6415,Larisa NIKITINA,29 APR 1965,RUS,2,Moskva (RUS),20 JUN 1993,1157
32,417.0,6412,Lyudmyla YOSIPENKO,24 SEP 1984,UKR,1,Yalta (UKR),23 JUL 2009,1156
48,424.0,6409,Antoinette NANA DJIMOU,02 AUG 1985,FRA,2,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,1155
64,433.0,6403,Ivona DADIC,29 DEC 1993,AUT,8,"National Stadium, Tokyo (JPN)",05 AUG 2021,1154
80,441.0,6398,Sibylle THIELE,06 MAR 1965,GDR,3,Götzis (AUT),26 MAY 1985,1153
96,445.0,6396,Kelly SOTHERTON,13 NOV 1976,GBR,1,Melbourne (AUS),22 MAR 2006,1153
112,457.0,6392,Yasmina AZZIZI-KETTAB,25 FEB 1966,ALG,5,"National Stadium, Tokyo (JPN)",27 AUG 1991,1152
128,463.0,6390,Antoinette NANA DJIMOU,02 AUG 1985,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2012,1152
144,471.0,6387,Anouk VETTER,04 FEB 1993,NED,1,"Stadionring, Ratingen (GER)",28 JUN 2015,1151
160,481.0,6383,Peggy BEER,15 SEP 1969,GER,1,Helmond (NED),07 JUL 1991,1150
176,487.0,6381,Kateřina CACHOVÁ,26 FEB 1990,CZE,3,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018,1150
192,495.0,6379,Erica BOUGARD,26 JUL 1993,USA,9,"National Stadium, Tokyo (JPN)",05 AUG 2021,1149
8,505.0,6376,Jennifer OESER,29 NOV 1983,GER,4,"Ullevi Stadium, Göteborg (SWE)",08 AUG 2006,1149
24,511.0,6373,Yorgelis RODRÍGUEZ,25 JAN 1995,CUB,2,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2016,1148
40,520.0,6369,Kylie WHEELER,17 JAN 1980,AUS,9,"National Stadium, Beijing (CHN)",16 AUG 2008,1147
56,529.0,6363,Jackie JOYNER,03 MAR 1962,USA,2,"Memorial Coliseum, Los Angeles, CA (USA)",04 AUG 1984,1146
72,537.0,6360,Austra SKUJYTĖ,12 AUG 1979,LTU,4,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,1146
88,545.0,6358,Ninali ZHENG,12 NOV 1998,CHN,1,"Antonio Domínguez Stadium, Arona (ESP)",13 JUN 2021,1145
104,552.0,6355,Lilli SCHWARZKOPF,28 AUG 1983,GER,2,"Stadionring, Ratingen (GER)",21 JUN 2009,1145
120,561.0,6352,Małgorzata NOWAK,09 FEB 1959,POL,6,"Neckarstadion, Stuttgart (GER)",30 AUG 1986,1144
136,567.0,6351,Karolina TYMIŃSKA,04 OCT 1984,POL,4,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,1144
152,574.0,6347,Erica BOUGARD,26 JUL 1993,USA,1,"Drake Stadium, Des Moines, IA (USA)",24 JUN 2018,1143
168,585.0,6344,Heike TISCHLER,04 FEB 1964,GDR,4,Götzis (AUT),17 JUN 1990,1143
184,587.0,6343,Sharon DAY-MONROE,09 JUN 1985,USA,2,"Hayward Field, Eugene, OR (USA)",30 JUN 2012,1142
0,601.0,6339,Anzhela ATROSHCHENKO,14 NOV 1970,BLR,2,Tallinn (EST),11 JUL 1993,1142
16,605.0,6337,Verena PREINER,01 FEB 1995,AUT,8,"Olympiastadion, Berlin (GER)",10 AUG 2018,1141
32,616.0,6332,Sabine BRAUN,19 JUN 1965,GER,2,"Stadionring, Ratingen (GER)",23 JUL 2000,1140
48,624.0,6330,Caroline AGNOU,26 MAY 1996,SUI,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",14 JUL 2017,1140
64,632.0,6327,Nataliya DOBRYNSKA,29 MAY 1982,UKR,8,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1139
80,639.0,6325,Aiga GRABUSTE,24 MAR 1988,LAT,3,"Olympiastadion, Helsinki (FIN)",30 JUN 2012,1139
96,648.0,6322,Xénia KRIZSÁN,13 JAN 1993,HUN,9,"National Stadium, Beijing (CHN)",23 AUG 2015,1138
112,656.0,6319,Marina GONCHAROVA,26 APR 1986,RUS,6,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,1138
128,664.0,6317,Sabine BRAUN,19 JUN 1965,GER,7,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996,1137
144,670.0,6316,Anouk VETTER,04 FEB 1993,NED,9,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1137
160,680.0,6313,Eliška KLUČINOVÁ,14 APR 1988,CZE,10,"Olympic Stadium, London (GBR)",06 AUG 2017,1136
176,689.0,6310,Urszula WŁODARCZYK,22 DEC 1965,POL,6,Götzis (AUT),31 MAY 1992,1136
192,696.0,6308,Birgit GAUTZSCH,14 DEC 1967,GDR,5,Götzis (AUT),17 JUN 1990,1135
8,703.0,6307,Barbara NWABA,18 JAN 1989,USA,2,"Sacramento, CA (USA)",28 JUN 2014,1135
24,713.0,6305,Anke VATER,05 JUN 1961,GDR,2,Götzis (AUT),23 MAY 1982,1135
40,721.0,6303,Xénia KRIZSÁN,13 JAN 1993,HUN,1,"Kadrioru staadion, Tallinn (EST)",10 JUL 2015,1134
56,728.0,6299,Denise LEWIS,27 AUG 1972,GBR,7,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1134
72,733.0,6298,Yekaterina BOLSHOVA,04 FEB 1988,RUS,4,"Olympiastadion, Helsinki (FIN)",30 JUN 2012,1133
88,741.0,6297,Nadine BROERSEN,29 APR 1990,NED,7,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1133
104,753.0,6293,Sophie WEIßENBERG,24 SEP 1997,GER,8,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1132
120,758.0,6291,Géraldine RUCKSTUHL,24 FEB 1998,SUI,12,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1132
136,763.0,6290,Solène NDAMA,23 SEP 1998,FRA,4,"Stade Pierre Paul Bernard, Talence (FRA)",23 JUN 2019,1132
152,776.0,6288,Karolina TYMIŃSKA,04 OCT 1984,POL,2,"Stade Pierre Paul Bernard, Talence (FRA)",15 SEP 2013,1131
168,783.0,6285,Evelis Jazmin AGUILAR,03 JAN 1993,COL,2,Barranquilla (COL),01 AUG 2018,1131
184,789.0,6282,Xénia KRIZSÁN,13 JAN 1993,HUN,2,"Stade Pierre Paul Bernard, Talence (FRA)",17 SEP 2017,1130
0,799.0,6279,Antoinette NANA DJIMOU,02 AUG 1985,FRA,10,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1130
16,809.0,6277,Irina VOSTRIKOVA,30 AUG 1970,RUS,8,"Olympic Stadium, Athina (GRE)",04 AUG 1997,1129
32,814.0,6275,Svetlana SOKOLOVA,09 JAN 1981,RUS,1,Krasnodar (RUS),29 MAY 2004,1129
48,825.0,6273,Sabine BRAUN,19 JUN 1965,FRG,2,Schwechat (AUT),28 AUG 1983,1129
64,832.0,6271,Saga VANNINEN,04 MAY 2003,FIN,1,"Kadrioru staadion, Tallinn (EST)",16 JUL 2021,1128
80,840.0,6269,Jessica ENNIS-HILL,28 JAN 1986,GBR,3,Melbourne (AUS),22 MAR 2006,1128
96,849.0,6267,Beatrice MAU-REPNAK,20 FEB 1971,GER,7,Götzis (AUT),31 MAY 1992,1127
112,857.0,6264,Petra VAIDEANU,24 AUG 1965,ROU,8,"Poljud Stadion, Split (CRO)",31 AUG 1990,1127
128,864.0,6262,Remigija NAZAROVIENĖ,02 JUN 1967,LTU,8,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1126
144,869.0,6260,Chantae MCMILLAN,01 MAY 1988,USA,1,"Fayetteville, AR (USA)",30 JUN 2016,1126
160,879.0,6257,Nadine VISSER,09 FEB 1995,NED,3,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2015,1125
176,888.0,6255,Denise LEWIS,27 AUG 1972,GBR,6,Götzis (AUT),28 MAY 1995,1125
192,895.0,6254,Sabine BRAUN,19 JUN 1965,GER,1,"Stadionring, Ratingen (GER)",16 JUN 2002,1125
8,902.0,6253,Niamh EMERSON,22 APR 1999,GBR,1,"Ratinan Stadion, Tampere (FIN)",13 JUL 2018,1125
24,913.0,6250,Daniela NENOVA,09 JAN 1961,BUL,3,Götzis (AUT),29 MAY 1983,1124
40,920.0,6248,Urszula WŁODARCZYK,22 DEC 1965,POL,9,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1124
56,925.0,6247,Erica BOUGARD,26 JUL 1993,USA,1,"St. Mark's School of Texas, Dallas, TX (USA)",04 JUN 2023,1123
72,937.0,6244,Sheila BURRELL,15 JAN 1972,USA,2,Winnipeg (CAN),25 JUL 1999,1123
88,945.0,6242,Nadine DEBOIS,25 SEP 1961,FRA,2,Arles (FRA),08 SEP 1985,1122
104,951.0,6240,Noor VIDTS,30 MAY 1996,BEL,3,"Antonio Domínguez Stadium, Arona (ESP)",13 JUN 2021,1122
120,960.0,6237,Natalya ROSHCHUPKINA,13 JAN 1978,RUS,6,"Olympic Stadium, Sydney (AUS)",24 SEP 2000,1121
136,967.0,6235,Tatyana GORDEYEVA,03 JUN 1973,RUS,3,Tula (RUS),24 JUN 2004,1121
152,975.0,6234,Allie JONES,29 JUN 2000,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",13 MAY 2023,1121
168,983.0,6232,Sharon DAY-MONROE,09 JUN 1985,USA,14,"Olympic Stadium, London (GBR)",04 AUG 2012,1120
184,993.0,6230,Mona STEIGAUF,17 JAN 1970,GER,7,Götzis (AUT),29 MAY 1994,1120
0,993.0,6230,Anastasiya MOKHNYUK,01 JAN 1991,UKR,,"Stadion Zygmunta Szelesta, Warszawa (POL)",27 JUN 2021,1120
16,1006.0,6228,Jessica SAMUELSSON,14 MAR 1985,SWE,12,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1120
32,1015.0,6225,Kendell WILLIAMS,14 JUN 1995,USA,1,"Eugene, OR (USA)",11 JUN 2016,1119
48,1019.0,6224,Jade O'DOWDA,09 SEP 1999,GBR,1,"Bedford Athletic Stadium, Bedford (GBR)",29 MAY 2022,1119
64,1030.0,6222,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,8,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1118
80,1041.0,6220,Irina VOSTRIKOVA,30 AUG 1970,RUS,6,Götzis (AUT),31 MAY 1998,1118
96,1044.0,6219,Jolanda KEIZER,05 APR 1985,NED,2,"Gyulai István Atlétika Stadion, Debrecen (HUN)",15 JUL 2007,1118
112,1056.0,6216,Cindy GREINER,15 FEB 1957,USA,10,"National Stadium, Tokyo (JPN)",27 AUG 1991,1117
128,1059.0,6215,Alina SHUKH,12 FEB 1999,UKR,1,"Avangard Stadium, Lutsk (UKR)",30 AUG 2020,1117
144,1072.0,6213,Austra SKUJYTĖ,12 AUG 1979,LTU,2,Götzis (AUT),01 JUN 2003,1117
160,1078.0,6212,Ekaterina VORONINA,16 FEB 1992,UZB,1f,Tashkent (UZB),19 SEP 2015,1117
176,1087.0,6210,Claudia RATH,25 APR 1986,GER,6,"Olympiastadion, Helsinki (FIN)",30 JUN 2012,1116
192,1096.0,6208,Alina SHUKH,12 FEB 1999,UKR,1,"Kadrioru staadion, Tallinn (EST)",02 JUL 2017,1116
8,1101.0,6206,Lyudmyla YOSIPENKO,24 SEP 1984,UKR,5,"Estadio Olímpico, Barcelona (ESP)",31 JUL 2010,1115
24,1113.0,6204,Irina TYUKHAY,14 JAN 1967,RUS,6,Vénissieux (FRA),03 JUL 1994,1115
40,1120.0,6201,Anastasiya MOKHNYUK,01 JAN 1991,UKR,11,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1114
